i,j,formula,eigvals,dopant_options
1,1,H215Cl71Cu72N71O2,"[0.        +0.00449489j 0.        +0.00232397j 0.        +0.00229544j ...
 0.42168622+0.j         0.42203897+0.j         0.42241558+0.j        ]","{'Se', 'Zn', 'F', 'O', 'S'}"
1,2,H208Cl71Cu71N68O8SSe,"[0.        +0.00453798j 0.        +0.00377079j 0.        +0.00364468j ...
 0.4231181 +0.j         0.42601561+0.j         0.49016747+0.j        ]","{'Se', 'Zn', 'F', 'O', 'S'}"
7,1,Ba53Cu104NSe212Sn53Zn,"[0.        +1.54034010e-03j 0.        +7.85227095e-06j
 0.        +5.10643827e-06j ... 0.04917694+0.00000000e+00j
 0.05629128+0.00000000e+00j 0.06529753+0.00000000e+00j]","{'Cs', 'K', 'Hg', 'Zn', 'Ta', 'Rb', 'La', 'Cu', 'N', 'Co'}"
7,1,Ba53Cu104N2Se209Sn51Zn2,"[0.00000000e+00+6.30801459e-06j 0.00000000e+00+4.03016455e-06j
 4.00431692e-06+0.00000000e+00j ... 5.66873689e-02+0.00000000e+00j
 7.11852538e-02+0.00000000e+00j 8.15864911e-02+0.00000000e+00j]","{'Cs', 'K', 'Hg', 'Zn', 'Ta', 'Rb', 'La', 'Cu', 'N', 'Co'}"
7,2,Ba54Cu107N5Se209Sn54,"[0.00000000e+00+9.2225982e-06j 3.21716004e-06+0.0000000e+00j
 9.96949438e-06+0.0000000e+00j ... 6.91261838e-02+0.0000000e+00j
 7.11316023e-02+0.0000000e+00j 7.35675215e-02+0.0000000e+00j]","{'Cs', 'K', 'Hg', 'Zn', 'Ta', 'Rb', 'La', 'Cu', 'N', 'Co'}"
7,2,Ba52CoCu108N4Se206Sn53,"[0.00000000e+00+5.63607557e-06j 2.47350115e-06+0.00000000e+00j
 9.03697970e-06+0.00000000e+00j ... 6.90164634e-02+0.00000000e+00j
 7.98782791e-02+0.00000000e+00j 8.52346251e-02+0.00000000e+00j]","{'Cs', 'K', 'Hg', 'Zn', 'Ta', 'Rb', 'La', 'Cu', 'N', 'Co'}"
7,3,Ba53CsCu105N7Se205Sn52Zn,"[0.        +2.21795115e-03j 0.        +1.18761210e-05j
 0.        +8.76616995e-06j ... 0.07150284+0.00000000e+00j
 0.07675347+0.00000000e+00j 0.07931357+0.00000000e+00j]","{'Cs', 'K', 'Hg', 'Zn', 'Ta', 'Rb', 'La', 'Cu', 'N', 'Co'}"
7,3,Ba54Co2Cu102N7Se206Sn50Zn,"[0.00000000e+00+1.94037310e-03j 0.00000000e+00+1.07019443e-05j
 1.30137154e-06+0.00000000e+00j ... 7.32229317e-02+0.00000000e+00j
 7.53073645e-02+0.00000000e+00j 7.57764116e-02+0.00000000e+00j]","{'Cs', 'K', 'Hg', 'Zn', 'Ta', 'Rb', 'La', 'Cu', 'N', 'Co'}"
9,1,Mn36NNa214S142,"[0.00000000e+00+1.65955588e-05j 6.94890783e-06+0.00000000e+00j
 2.18610687e-05+0.00000000e+00j ... 3.66764555e-02+0.00000000e+00j
 3.70146184e-02+0.00000000e+00j 1.03914108e-01+0.00000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
9,1,FMn35N2Na210S138Sb,"[0.00000000e+00+2.08462169e-05j 0.00000000e+00+1.30292687e-05j
 1.83810883e-05+0.00000000e+00j ... 5.29215863e-02+0.00000000e+00j
 7.26764198e-02+0.00000000e+00j 9.84106287e-02+0.00000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
9,1,Mn34N5Na209S137Sb2,"[0.00000000e+00+1.29387808e-05j 1.10228529e-05+0.00000000e+00j
 1.82462518e-05+0.00000000e+00j ... 1.00699407e-01+0.00000000e+00j
 1.01198173e-01+0.00000000e+00j 1.02398692e-01+0.00000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
9,2,CaMn34N2Na208OS140Sb2,"[0.00000000e+00+2.41447405e-05j 0.00000000e+00+1.36874781e-05j
 1.31790096e-05+0.00000000e+00j ... 9.09516444e-02+0.00000000e+00j
 9.98988627e-02+0.00000000e+00j 1.02941432e-01+0.00000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
9,2,Mn35NNa208S141,"[0.00000000e+00+6.82216732e-05j 0.00000000e+00+1.73478004e-05j
 9.80508888e-06+0.00000000e+00j ... 3.84679614e-02+0.00000000e+00j
 3.89731383e-02+0.00000000e+00j 1.01324312e-01+0.00000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
9,2,Ca2F2Mn34N3Na205S138Sb2,"[0.00000000e+00+3.08414689e-03j 0.00000000e+00+1.18002795e-05j
 1.96451269e-05+0.00000000e+00j ... 7.37611829e-02+0.00000000e+00j
 9.61223383e-02+0.00000000e+00j 1.01612599e-01+0.00000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
9,3,LiMn34N3Na214S140,"[0.00000000e+00+2.2152347e-05j 1.75624432e-05+0.0000000e+00j
 2.61204005e-05+0.0000000e+00j ... 9.85598208e-02+0.0000000e+00j
 9.97572422e-02+0.0000000e+00j 1.02898356e-01+0.0000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
9,3,F2Mn35N3Na208S137,"[0.        +3.26754648e-03j 0.        +9.28860231e-04j
 0.        +1.70153517e-05j ... 0.09385942+0.00000000e+00j
 0.09517422+0.00000000e+00j 0.09633914+0.00000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
9,3,Mn36NNa211S142,"[0.00000000e+00+1.85395733e-05j 9.64059956e-06+0.00000000e+00j
 1.60188797e-05+0.00000000e+00j ... 3.85931443e-02+0.00000000e+00j
 4.07995436e-02+0.00000000e+00j 9.87011827e-02+0.00000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
13,1,Ge70NNa143SbSe176,"[0.00000000e+00+1.30452339e-05j 1.03854562e-05+0.00000000e+00j
 1.45174912e-05+0.00000000e+00j ... 3.22275070e-02+0.00000000e+00j
 3.48690838e-02+0.00000000e+00j 8.74815223e-02+0.00000000e+00j]","{'W', 'Ho', 'N', 'Cl', 'Ca', 'F', 'O', 'Er', 'Sb'}"
13,1,FGe72NNa142Se178,"[0.00000000e+00+9.94048812e-06j 5.45327727e-06+0.00000000e+00j
 1.37701854e-05+0.00000000e+00j ... 4.30120175e-02+0.00000000e+00j
 6.93625802e-02+0.00000000e+00j 9.24821727e-02+0.00000000e+00j]","{'W', 'Ho', 'N', 'Cl', 'Ca', 'F', 'O', 'Er', 'Sb'}"
13,2,Ge70N2Na142Se177,"[0.00000000e+00+1.25116837e-05j 5.13250618e-06+0.00000000e+00j
 1.40253767e-05+0.00000000e+00j ... 5.38489273e-02+0.00000000e+00j
 6.48796394e-02+0.00000000e+00j 7.49015022e-02+0.00000000e+00j]","{'W', 'Ho', 'N', 'Cl', 'Ca', 'F', 'O', 'Er', 'Sb'}"
13,2,ClGe72Na136OSe175,"[0.00000000e+00+1.16429693e-05j 0.00000000e+00+7.54668970e-06j
 9.55794002e-06+0.00000000e+00j ... 3.22707649e-02+0.00000000e+00j
 3.26230697e-02+0.00000000e+00j 7.14748834e-02+0.00000000e+00j]","{'W', 'Ho', 'N', 'Cl', 'Ca', 'F', 'O', 'Er', 'Sb'}"
13,3,Ca2Ge68Na139Se178,"[0.00000000e+00+1.06646901e-05j 1.13421002e-05+0.00000000e+00j
 1.41331891e-05+0.00000000e+00j ... 3.08152475e-02+0.00000000e+00j
 3.12626266e-02+0.00000000e+00j 3.12872488e-02+0.00000000e+00j]","{'W', 'Ho', 'N', 'Cl', 'Ca', 'F', 'O', 'Er', 'Sb'}"
13,3,Ca2Ge71N2Na140OSe174,"[0.00000000e+00+1.40551032e-05j 0.00000000e+00+9.61443128e-06j
 9.30256186e-06+0.00000000e+00j ... 8.44861718e-02+0.00000000e+00j
 8.56523916e-02+0.00000000e+00j 8.70281527e-02+0.00000000e+00j]","{'W', 'Ho', 'N', 'Cl', 'Ca', 'F', 'O', 'Er', 'Sb'}"
15,1,Al2F4N211Si159Zn,"[0.00000000e+00+4.78964747e-03j 0.00000000e+00+6.09232114e-05j
 9.05654651e-06+0.00000000e+00j ... 1.41553457e-01+0.00000000e+00j
 1.42272556e-01+0.00000000e+00j 1.43231874e-01+0.00000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
15,1,FLiN209OS2SeSi159,"[0.00000000e+00+4.55869799e-05j 3.05654870e-05+0.00000000e+00j
 5.16240552e-05+0.00000000e+00j ... 1.40816784e-01+0.00000000e+00j
 1.42492060e-01+0.00000000e+00j 1.43242538e-01+0.00000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
15,1,AlBe3FN212SeSi152,"[0.        +1.51301444e-03j 0.        +5.56628615e-05j
 0.        +4.42639043e-05j ... 0.13494524+0.00000000e+00j
 0.13631381+0.00000000e+00j 0.13679833+0.00000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
15,2,BeLi2N207SeSi159,"[0.00000000e+00+5.24805474e-05j 1.81219374e-05+0.00000000e+00j
 5.70947536e-05+0.00000000e+00j ... 1.34310638e-01+0.00000000e+00j
 1.37588657e-01+0.00000000e+00j 1.43981174e-01+0.00000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
15,2,AlN211SeSi160,"[0.00000000e+00+3.3302283e-05j 2.28685788e-05+0.0000000e+00j
 5.91502535e-05+0.0000000e+00j ... 1.38322605e-01+0.0000000e+00j
 1.38350356e-01+0.0000000e+00j 1.41364268e-01+0.0000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
15,2,AlFLiN204O3SSi157,"[0.00000000e+00+1.99735327e-05j 1.07448810e-05+0.00000000e+00j
 3.82671142e-05+0.00000000e+00j ... 1.37466369e-01+0.00000000e+00j
 1.40339284e-01+0.00000000e+00j 1.44458337e-01+0.00000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
15,3,BeFLiMgN206SSe2Si155,"[0.00000000e+00+5.91241804e-05j 4.71399752e-05+0.00000000e+00j
 6.34650036e-05+0.00000000e+00j ... 1.41294563e-01+0.00000000e+00j
 1.49354391e-01+0.00000000e+00j 1.63058438e-01+0.00000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
15,3,FLiN203OSe6Si156Zn,"[0.00000000e+00+3.88825983e-05j 0.00000000e+00+3.08637374e-05j
 4.34998873e-05+0.00000000e+00j ... 1.55171306e-01+0.00000000e+00j
 1.57429982e-01+0.00000000e+00j 1.61004437e-01+0.00000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
15,3,Be2FMg2N206O2SSeSi153,"[0.00000000e+00+5.1856916e-05j 2.49700359e-05+0.0000000e+00j
 6.28197063e-05+0.0000000e+00j ... 1.44305056e-01+0.0000000e+00j
 1.44948361e-01+0.0000000e+00j 1.54236041e-01+0.0000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
18,1,Cd35I207In139NaOSbSe,"[0.00000000e+00+9.77478197e-04j 0.00000000e+00+7.11511266e-06j
 2.59662293e-06+0.00000000e+00j ... 2.72438753e-02+0.00000000e+00j
 3.41707919e-02+0.00000000e+00j 3.61901802e-02+0.00000000e+00j]","{'Se', 'Pb', 'La', 'Yb', 'Na', 'Cl', 'O', 'Ce', 'S', 'Sb'}"
18,1,Cd35Cl2I213In140NaS2Se,"[0.        +5.58502435e-04j 0.        +6.30933942e-06j
 0.        +5.14885937e-06j ... 0.02802114+0.00000000e+00j
 0.02991801+0.00000000e+00j 0.0330748 +0.00000000e+00j]","{'Se', 'Pb', 'La', 'Yb', 'Na', 'Cl', 'O', 'Ce', 'S', 'Sb'}"
18,2,Cd33I206In143Na2OS2Se,"[0.00000000e+00+1.87178896e-03j 0.00000000e+00+4.42276679e-06j
 3.06613339e-06+0.00000000e+00j ... 2.83613892e-02+0.00000000e+00j
 3.66583784e-02+0.00000000e+00j 4.15818393e-02+0.00000000e+00j]","{'Se', 'Pb', 'La', 'Yb', 'Na', 'Cl', 'O', 'Ce', 'S', 'Sb'}"
18,2,Cd35I209In143NaO2SbSe3,"[0.        +9.30264606e-04j 0.        +6.48153743e-06j
 0.        +1.19012524e-06j ... 0.035717  +0.00000000e+00j
 0.04314069+0.00000000e+00j 0.04717659+0.00000000e+00j]","{'Se', 'Pb', 'La', 'Yb', 'Na', 'Cl', 'O', 'Ce', 'S', 'Sb'}"
18,3,Cd35ClI211In139NaSSb,"[0.00000000e+00+4.03610305e-06j 0.00000000e+00+1.23798559e-06j
 5.55087641e-06+0.00000000e+00j ... 2.19960753e-02+0.00000000e+00j
 2.53352832e-02+0.00000000e+00j 2.75290654e-02+0.00000000e+00j]","{'Se', 'Pb', 'La', 'Yb', 'Na', 'Cl', 'O', 'Ce', 'S', 'Sb'}"
18,3,Cd33ClI204In142Na2O3SSe2,"[0.        +1.03823813e-03j 0.        +8.01234311e-04j
 0.        +7.25701240e-06j ... 0.04451296+0.00000000e+00j
 0.04951237+0.00000000e+00j 0.05104018+0.00000000e+00j]","{'Se', 'Pb', 'La', 'Yb', 'Na', 'Cl', 'O', 'Ce', 'S', 'Sb'}"
24,1,Ag46Fe94Ga47MnTe188,"[0.        +0.00343171j 0.        +0.00324198j 0.        +0.00239484j ...
 0.02414844+0.j         0.02718961+0.j         0.02864357+0.j        ]","{'Hg', 'Ag', 'Mn', 'Na', 'Cd', 'Tl'}"
24,1,Ag48CdFe94Ga48Te190,"[0.00000000e+00+1.03586403e-05j 3.48746865e-06+0.00000000e+00j
 5.25997311e-06+0.00000000e+00j ... 2.30534603e-02+0.00000000e+00j
 2.31156185e-02+0.00000000e+00j 2.31538077e-02+0.00000000e+00j]","{'Hg', 'Ag', 'Mn', 'Na', 'Cd', 'Tl'}"
24,2,Ag48Fe92Ga46Na2Te185,"[0.        +0.00249524j 0.        +0.00142816j 0.        +0.0009631j  ...
 0.02747461+0.j         0.02843465+0.j         0.0292411 +0.j        ]","{'Hg', 'Ag', 'Mn', 'Na', 'Cd', 'Tl'}"
24,2,Ag47Fe93Ga46MnNa2Te191,"[0.        +2.30607942e-03j 0.        +8.54718458e-06j
 0.        +7.57062917e-06j ... 0.02444699+0.00000000e+00j
 0.02470181+0.00000000e+00j 0.02672545+0.00000000e+00j]","{'Hg', 'Ag', 'Mn', 'Na', 'Cd', 'Tl'}"
24,3,Ag47Fe95Ga48MnTe185,"[0.00000000e+00+6.47722959e-06j 0.00000000e+00+2.42327759e-06j
 6.70432864e-06+0.00000000e+00j ... 2.60207896e-02+0.00000000e+00j
 2.62729182e-02+0.00000000e+00j 3.05230788e-02+0.00000000e+00j]","{'Hg', 'Ag', 'Mn', 'Na', 'Cd', 'Tl'}"
24,3,Ag47CdFe96Ga47Te188,"[0.        +4.09749147e-03j 0.        +2.50335282e-03j
 0.        +8.09483158e-06j ... 0.02375876+0.00000000e+00j
 0.02387074+0.00000000e+00j 0.02433212+0.00000000e+00j]","{'Hg', 'Ag', 'Mn', 'Na', 'Cd', 'Tl'}"
27,1,Ag2B68Co101F2Ge2K2LiO208Sn,"[0.        +2.93595093e-03j 0.        +4.66200684e-05j
 0.        +2.91108030e-05j ... 0.17034366+0.00000000e+00j
 0.17224423+0.00000000e+00j 0.23355837+0.00000000e+00j]","{'C', 'Ag', 'K', 'Sn', 'Na', 'Li', 'Cl', 'F', 'O', 'Ge'}"
27,1,AgB70Cl2Co101F2KLi2O210Sn2,"[0.00000000e+00+4.41421782e-05j 1.25883746e-05+0.00000000e+00j
 4.71293005e-05+0.00000000e+00j ... 1.58089342e-01+0.00000000e+00j
 1.69560031e-01+0.00000000e+00j 1.72973325e-01+0.00000000e+00j]","{'C', 'Ag', 'K', 'Sn', 'Na', 'Li', 'Cl', 'F', 'O', 'Ge'}"
27,2,CB71Cl2Co104Li2O208,"[0.00000000e+00+2.33596729e-05j 1.71508321e-05+0.00000000e+00j
 4.37748572e-05+0.00000000e+00j ... 1.61765767e-01+0.00000000e+00j
 1.74117570e-01+0.00000000e+00j 1.74760293e-01+0.00000000e+00j]","{'C', 'Ag', 'K', 'Sn', 'Na', 'Li', 'Cl', 'F', 'O', 'Ge'}"
27,2,CAgB69Co104F2GeNaO214,"[0.00000000e+00+2.59323307e-05j 0.00000000e+00+1.85326052e-05j
 4.97578468e-05+0.00000000e+00j ... 1.52655870e-01+0.00000000e+00j
 1.55010986e-01+0.00000000e+00j 1.66462774e-01+0.00000000e+00j]","{'C', 'Ag', 'K', 'Sn', 'Na', 'Li', 'Cl', 'F', 'O', 'Ge'}"
27,3,AgB71Cl2Co102FGeK2NaO212,"[0.00000000e+00+5.06823157e-05j 0.00000000e+00+4.20441766e-05j
 4.93211544e-05+0.00000000e+00j ... 1.58765418e-01+0.00000000e+00j
 1.66331320e-01+0.00000000e+00j 1.73419739e-01+0.00000000e+00j]","{'C', 'Ag', 'K', 'Sn', 'Na', 'Li', 'Cl', 'F', 'O', 'Ge'}"
27,3,CB70Cl2Co103F2LiO209,"[0.00000000e+00+2.33910840e-05j 0.00000000e+00+2.26868744e-05j
 1.45293927e-05+0.00000000e+00j ... 1.66604061e-01+0.00000000e+00j
 1.69996666e-01+0.00000000e+00j 1.82243671e-01+0.00000000e+00j]","{'C', 'Ag', 'K', 'Sn', 'Na', 'Li', 'Cl', 'F', 'O', 'Ge'}"
30,1,Ag70ClIn71S213Si36,"[0.        +2.41979396e-03j 0.        +1.70407741e-05j
 0.        +1.10441340e-05j ... 0.05987066+0.00000000e+00j
 0.0682411 +0.00000000e+00j 0.07451159+0.00000000e+00j]","{'V', 'K', 'Zn', 'As', 'P', 'Na', 'Li', 'Cl', 'O', 'In'}"
30,1,Ag68ClIn73S212Si36,"[0.00000000e+00+1.72489279e-05j 0.00000000e+00+1.10514318e-05j
 1.56395222e-05+0.00000000e+00j ... 5.94355099e-02+0.00000000e+00j
 5.94934986e-02+0.00000000e+00j 6.33440716e-02+0.00000000e+00j]","{'V', 'K', 'Zn', 'As', 'P', 'Na', 'Li', 'Cl', 'O', 'In'}"
30,2,Ag69Cl7In68Na2O2S204Si35,"[0.00000000e+00+2.47221460e-03j 0.00000000e+00+1.98125826e-05j
 2.68259559e-06+0.00000000e+00j ... 8.45630978e-02+0.00000000e+00j
 9.89490269e-02+0.00000000e+00j 1.08320095e-01+0.00000000e+00j]","{'V', 'K', 'Zn', 'As', 'P', 'Na', 'Li', 'Cl', 'O', 'In'}"
30,2,Ag70Cl7In71KOS203Si35,"[0.        +1.23621759e-03j 0.        +1.60389788e-05j
 0.        +1.14333298e-05j ... 0.06192709+0.00000000e+00j
 0.0626864 +0.00000000e+00j 0.10008674+0.00000000e+00j]","{'V', 'K', 'Zn', 'As', 'P', 'Na', 'Li', 'Cl', 'O', 'In'}"
30,3,Ag72AsClIn71S207Si33,"[0.        +1.43290894e-05j 0.        +8.63453280e-06j
 0.        +1.19080807e-06j ... 0.05934043+0.00000000e+00j
 0.05991573+0.00000000e+00j 0.08733946+0.00000000e+00j]","{'V', 'K', 'Zn', 'As', 'P', 'Na', 'Li', 'Cl', 'O', 'In'}"
31,1,BaCl4Rb101S208Sb106,"[0.00000000e+00+1.30569047e-05j 0.00000000e+00+6.69680384e-06j
 1.56185747e-05+0.00000000e+00j ... 4.23620069e-02+0.00000000e+00j
 4.36742828e-02+0.00000000e+00j 4.43320897e-02+0.00000000e+00j]","{'In', 'K', 'Pb', 'Sb', 'S', 'Sr', 'Cl', 'Er', 'Tl', 'Ba'}"
31,1,BaCl4Rb103S209Sb106Sr,"[0.00000000e+00+5.10853779e-06j 5.39389141e-06+0.00000000e+00j
 9.98410544e-06+0.00000000e+00j ... 4.55648977e-02+0.00000000e+00j
 5.08809000e-02+0.00000000e+00j 5.09640094e-02+0.00000000e+00j]","{'In', 'K', 'Pb', 'Sb', 'S', 'Sr', 'Cl', 'Er', 'Tl', 'Ba'}"
31,2,Ba2Cl5InKRb101S207Sb102Sr,"[0.00000000e+00+9.95117314e-06j 0.00000000e+00+5.60997013e-06j
 9.18863517e-06+0.00000000e+00j ... 4.30833359e-02+0.00000000e+00j
 4.36786673e-02+0.00000000e+00j 4.52297445e-02+0.00000000e+00j]","{'In', 'K', 'Pb', 'Sb', 'S', 'Sr', 'Cl', 'Er', 'Tl', 'Ba'}"
31,2,Ba2Cl4InK2Rb104S207Sb101,"[0.        +1.03087766e-05j 0.        +5.96604750e-06j
 0.        +3.74234824e-06j ... 0.04323943+0.00000000e+00j
 0.04366272+0.00000000e+00j 0.04994331+0.00000000e+00j]","{'In', 'K', 'Pb', 'Sb', 'S', 'Sr', 'Cl', 'Er', 'Tl', 'Ba'}"
31,3,BaClRb105S210Sb108,"[0.00000000e+00+1.0481034e-05j 0.00000000e+00+3.0003518e-06j
 9.82406818e-06+0.0000000e+00j ... 4.33715987e-02+0.0000000e+00j
 4.36596321e-02+0.0000000e+00j 4.41892195e-02+0.0000000e+00j]","{'In', 'K', 'Pb', 'Sb', 'S', 'Sr', 'Cl', 'Er', 'Tl', 'Ba'}"
31,3,Cl5Rb106S203Sb105Sr,"[0.        +1.32854315e-05j 0.        +9.70951997e-06j
 0.        +2.85006996e-06j ... 0.04378432+0.00000000e+00j
 0.04402119+0.00000000e+00j 0.04518154+0.00000000e+00j]","{'In', 'K', 'Pb', 'Sb', 'S', 'Sr', 'Cl', 'Er', 'Tl', 'Ba'}"
33,1,As50ClGeK53Ni53O215Si2,"[0.00000000e+00+3.03268557e-05j 0.00000000e+00+4.53997726e-06j
 3.44584957e-05+0.00000000e+00j ... 9.95954779e-02+0.00000000e+00j
 1.00405246e-01+0.00000000e+00j 1.06749871e-01+0.00000000e+00j]","{'Si', 'Na', 'Li', 'Fe', 'Cl', 'F', 'Ge', 'Sr', 'Ba'}"
33,1,As51BaClFGeK51NaNi51O209Sr,"[0.        +2.43460190e-03j 0.        +3.26091904e-05j
 0.        +2.00638704e-05j ... 0.10011847+0.00000000e+00j
 0.10043786+0.00000000e+00j 0.10519532+0.00000000e+00j]","{'Si', 'Na', 'Li', 'Fe', 'Cl', 'F', 'Ge', 'Sr', 'Ba'}"
33,1,As53BaCl3F3GeK52LiNaNi52O208Sr,"[0.        +3.55267160e-05j 0.        +2.69703190e-05j
 0.        +5.61485566e-06j ... 0.10401024+0.00000000e+00j
 0.10493934+0.00000000e+00j 0.10631297+0.00000000e+00j]","{'Si', 'Na', 'Li', 'Fe', 'Cl', 'F', 'Ge', 'Sr', 'Ba'}"
33,2,As52Cl2FK52Li2Ni52O212Sr2,"[0.00000000e+00+4.00735448e-05j 0.00000000e+00+2.12464589e-05j
 2.06789339e-05+0.00000000e+00j ... 1.00044966e-01+0.00000000e+00j
 1.00166744e-01+0.00000000e+00j 1.06322901e-01+0.00000000e+00j]","{'Si', 'Na', 'Li', 'Fe', 'Cl', 'F', 'Ge', 'Sr', 'Ba'}"
33,2,As54Cl3F3K54LiNi52O207,"[0.00000000e+00+1.58993792e-05j 2.75603723e-05+0.00000000e+00j
 3.99237492e-05+0.00000000e+00j ... 1.04953108e-01+0.00000000e+00j
 1.05285359e-01+0.00000000e+00j 1.06213886e-01+0.00000000e+00j]","{'Si', 'Na', 'Li', 'Fe', 'Cl', 'F', 'Ge', 'Sr', 'Ba'}"
33,2,As51BaCl4FGeK51LiNi51O205SiSr,"[0.00000000e+00+3.03789393e-03j 0.00000000e+00+3.33717726e-05j
 2.44374450e-05+0.00000000e+00j ... 1.06202775e-01+0.00000000e+00j
 1.06556649e-01+0.00000000e+00j 1.32791515e-01+0.00000000e+00j]","{'Si', 'Na', 'Li', 'Fe', 'Cl', 'F', 'Ge', 'Sr', 'Ba'}"
33,3,As54FK54LiNi48O211,"[0.00000000e+00+3.28354929e-05j 2.97163878e-05+0.00000000e+00j
 4.02833525e-05+0.00000000e+00j ... 9.91937671e-02+0.00000000e+00j
 1.01221459e-01+0.00000000e+00j 1.03080207e-01+0.00000000e+00j]","{'Si', 'Na', 'Li', 'Fe', 'Cl', 'F', 'Ge', 'Sr', 'Ba'}"
33,3,As53Cl4F2K52LiNi52O203Si,"[0.00000000e+00+4.06236476e-05j 0.00000000e+00+4.90678538e-06j
 4.70210126e-05+0.00000000e+00j ... 1.03510994e-01+0.00000000e+00j
 1.03612815e-01+0.00000000e+00j 1.07199316e-01+0.00000000e+00j]","{'Si', 'Na', 'Li', 'Fe', 'Cl', 'F', 'Ge', 'Sr', 'Ba'}"
33,3,As51Cl2FFeK54Li4Ni50O213Si,"[0.00000000e+00+3.18905424e-05j 2.14890535e-05+0.00000000e+00j
 4.04210732e-05+0.00000000e+00j ... 1.00760885e-01+0.00000000e+00j
 1.00796499e-01+0.00000000e+00j 1.06021540e-01+0.00000000e+00j]","{'Si', 'Na', 'Li', 'Fe', 'Cl', 'F', 'Ge', 'Sr', 'Ba'}"
34,1,BeCl7Cu70F2O276S69,"[0.00000000e+00+7.00638587e-04j 0.00000000e+00+5.74187331e-05j
 1.49745888e-05+0.00000000e+00j ... 1.58647542e-01+0.00000000e+00j
 1.59203741e-01+0.00000000e+00j 1.64614869e-01+0.00000000e+00j]","{'Mn', 'Zn', 'P', 'Cu', 'Be', 'Cl', 'F', 'B', 'Ge'}"
34,1,Cl6Cu71F4GeMnO278S70,"[0.00000000e+00+4.25038906e-05j 3.20603042e-05+0.00000000e+00j
 4.21408995e-05+0.00000000e+00j ... 1.52941818e-01+0.00000000e+00j
 1.54589574e-01+0.00000000e+00j 1.61013639e-01+0.00000000e+00j]","{'Mn', 'Zn', 'P', 'Cu', 'Be', 'Cl', 'F', 'B', 'Ge'}"
34,2,Cl2Cu71MnO281S70,"[0.00000000e+00+6.70612338e-05j 0.00000000e+00+2.56051275e-05j
 3.34401782e-05+0.00000000e+00j ... 1.41731517e-01+0.00000000e+00j
 1.45355278e-01+0.00000000e+00j 1.45701437e-01+0.00000000e+00j]","{'Mn', 'Zn', 'P', 'Cu', 'Be', 'Cl', 'F', 'B', 'Ge'}"
34,3,B2Cl5Cu71F2GeO279PS69,"[0.00000000e+00+3.38426643e-05j 2.15314944e-05+0.00000000e+00j
 5.05426284e-05+0.00000000e+00j ... 1.49702491e-01+0.00000000e+00j
 1.49796886e-01+0.00000000e+00j 1.51200743e-01+0.00000000e+00j]","{'Mn', 'Zn', 'P', 'Cu', 'Be', 'Cl', 'F', 'B', 'Ge'}"
34,3,ClCu71F2GeO282S71,"[0.00000000e+00+2.99602492e-05j 0.00000000e+00+2.67795355e-05j
 5.72264646e-05+0.00000000e+00j ... 1.48713358e-01+0.00000000e+00j
 1.49155379e-01+0.00000000e+00j 1.54482587e-01+0.00000000e+00j]","{'Mn', 'Zn', 'P', 'Cu', 'Be', 'Cl', 'F', 'B', 'Ge'}"
