,Unnamed: 0,ICSD,Crystal,n_dopant,n_original,p_dopant,p_original
3606,3606,96783,H4K2Mn1O10Se2_96783.json,"['F', 'Ba', 'Sr', 'Cl', 'Cl']","['O', 'K', 'K', 'O', 'Se']","['Zn', 'P', 'Na', 'Si', 'Co']","['Se', 'Se', 'Mn', 'Se', 'Se']"
3607,3607,15105,Li1Mn1O2_15105.json,"['F', 'Zr', 'Se', 'Si', 'Er']","['O', 'Mn', 'Mn', 'Li', 'Li']","['O', 'Mn', 'Mg', 'Ni', 'F']","['Li', 'Mn', 'Mn', 'Mn', 'Li']"
3617,3617,194793,Cu1N2P1_194793.json,"['O', 'S', 'Se', 'F', 'Zn']","['N', 'N', 'N', 'N', 'Cu']","['Si', 'O', 'Ge', 'Y', 'B']","['P', 'Cu', 'P', 'P', 'P']"
3619,3619,201413,O4Se1Te1_201413.json,"['F', 'Cl', 'Br', 'I', 'Ir']","['O', 'O', 'O', 'Te', 'Se']","['Re', 'Ir', 'Co', 'Y', 'Sc']","['Te', 'Te', 'Te', 'Te', 'Te']"
3622,3622,43025,Al2Cd1S4_43025.json,"['Ge', 'Cl', 'Si', 'Sn', 'Cr']","['Cd', 'S', 'Al', 'Cd', 'Cd']","['Li', 'Na', 'Na', 'N', 'Mg']","['Al', 'Al', 'Cd', 'S', 'Al']"
3623,3623,25004,Cd1K2O2_25004.json,"['F', 'Ba', 'Sr', 'Cl', 'Ge']","['O', 'K', 'K', 'O', 'Cd']","['Na', 'O', 'O', 'Li', 'Cl']","['Cd', 'K', 'Cd', 'Cd', 'K']"
3626,3626,154346,Ba1O3Ti1_154346.json,"['F', 'Ta', 'Cl', 'Nb', 'Sb']","['O', 'Ti', 'O', 'Ti', 'Ti']","['Cs', 'Rb', 'K', 'Na', 'Zn']","['Ba', 'Ba', 'Ba', 'Ti', 'Ti']"
3631,3631,95538,Cd1K1N3O6_95538.json,"['F', 'Ba', 'Sr', 'Cl', 'Ge']","['O', 'K', 'K', 'O', 'Cd']","['Na', 'O', 'O', 'Li', 'Cl']","['Cd', 'K', 'Cd', 'Cd', 'K']"
3632,3632,154626,Cu1Ge1S7Y3_154626.json,"['Zn', 'Hg', 'Re', 'P', 'As']","['Cu', 'Cu', 'Y', 'Ge', 'Ge']","['Na', 'Zn', 'K', 'Cd', 'Ca']","['Y', 'Ge', 'Y', 'Ge', 'Y']"
3633,3633,43408,Na2Se2_43408.json,"['Hg', 'Ce', 'Bi', 'La', 'Ca']","['Na', 'Na', 'Na', 'Na', 'Na']","['F', 'O', 'Cl', 'S', 'Br']","['Na', 'Na', 'Na', 'Na', 'Na']"
