,Unnamed: 0,ICSD,Crystal,n_dopant,n_original,p_dopant,p_original
5,5,170946,Cl1Cu1H3N1_170946.json,"['O', 'S', 'Se', 'F', 'Zn']","['N', 'N', 'N', 'N', 'Cu']","['O', 'S', 'O', 'O', 'Se']","['Cl', 'Cl', 'Cu', 'H', 'Cl']"
6,6,262708,Cd1O3Ti1_262708.json,"['F', 'Ta', 'Cl', 'Nb', 'Ge']","['O', 'Ti', 'O', 'Ti', 'Cd']","['Na', 'Na', 'Zn', 'Mn', 'Mg']","['Cd', 'Ti', 'Ti', 'Ti', 'Ti']"
7,7,8097,Ca1O4Te1_8097.json,"['F', 'La', 'Cl', 'Nd', 'Pr']","['O', 'Ca', 'O', 'Ca', 'Ca']","['Na', 'Re', 'K', 'Ir', 'Co']","['Ca', 'Te', 'Ca', 'Te', 'Te']"
11,11,423062,P2S7_423062.json,"['S', 'Mn', 'Br', 'Cr', 'Cl']","['P', 'P', 'P', 'P', 'P']","['C', 'B', 'Si', 'Be', 'Al']","['P', 'P', 'P', 'P', 'P']"
17,17,15913,O2Sr1Zn1_15913.json,"['F', 'La', 'Si', 'Ge', 'Cl']","['O', 'Sr', 'Zn', 'Zn', 'O']","['Cs', 'Rb', 'K', 'Na', 'Cu']","['Sr', 'Sr', 'Sr', 'Zn', 'Zn']"
19,19,30503,Ag2H1O4P1_30503.json,"['F', 'Cl', 'In', 'Ga', 'Cr']","['O', 'O', 'Ag', 'Ag', 'P']","['Si', 'O', 'Ge', 'O', 'N']","['P', 'Ag', 'P', 'H', 'Ag']"
22,22,170857,Ba1Cu2Se4Sn1_170857.json,"['Zn', 'Hg', 'Ta', 'Cu', 'La']","['Cu', 'Cu', 'Sn', 'Cu', 'Ba']","['Cs', 'Rb', 'K', 'N', 'Co']","['Ba', 'Ba', 'Ba', 'Se', 'Sn']"
24,24,406358,F4H1P1_406358.json,"['P', 'Ba', 'Na', 'Li', 'Sr']","['P', 'H', 'F', 'F', 'H']","['O', 'Zn', 'Tl', 'O', 'N']","['F', 'P', 'P', 'H', 'F']"
26,26,642996,Mn1Na6S4_642996.json,"['Ca', 'Sb', 'Er', 'W', 'Ho']","['Na', 'Na', 'Na', 'Na', 'Na']","['Na', 'N', 'Li', 'O', 'F']","['Mn', 'S', 'Mn', 'Mn', 'Na']"
29,29,166533,Ca2I1P1_166533.json,"['Ca', 'Ce', 'Pr', 'Ce', 'Pr']","['I', 'Ca', 'Ca', 'I', 'I']","['Na', 'Ag', 'Hg', 'Li', 'F']","['Ca', 'Ca', 'Ca', 'Ca', 'Ca']"
30,30,27443,Br2Pd1_27443.json,"['Fe', 'Mn', 'Sc', 'K', 'Cr']","['Pd', 'Pd', 'Pd', 'Br', 'Pd']","['O', 'S', 'Na', 'Cu', 'K']","['Br', 'Br', 'Pd', 'Pd', 'Pd']"
36,36,165608,Al1Br4Cu1_165608.json,"['Zn', 'Hg', 'K', 'Si', 'Cu']","['Cu', 'Cu', 'Br', 'Al', 'Cu']","['O', 'S', 'Li', 'Na', 'O']","['Br', 'Br', 'Al', 'Al', 'Cu']"
37,37,61401,Ge2Na4Se5_61401.json,"['Ca', 'Sb', 'Er', 'W', 'Ho']","['Na', 'Na', 'Na', 'Na', 'Na']","['N', 'F', 'O', 'Cl', 'N']","['Se', 'Na', 'Na', 'Na', 'Na']"
39,39,1838,Ba1Fe4O8Sr1_1838.json,"['F', 'La', 'Cl', 'Nd', 'Sb']","['O', 'Sr', 'O', 'Sr', 'Fe']","['Cs', 'Rb', 'Cs', 'K', 'Na']","['Ba', 'Ba', 'Sr', 'Ba', 'Fe']"
42,42,170006,N4Si3_170006.json,"['O', 'S', 'Se', 'F', 'Li']","['N', 'N', 'N', 'N', 'N']","['Li', 'Zn', 'Be', 'Mg', 'Al']","['Si', 'Si', 'Si', 'Si', 'Si']"
48,48,2432,Cl1In1_2432.json,"['Sb', 'La', 'Pb', 'Yb', 'Ce']","['In', 'In', 'In', 'In', 'In']","['O', 'S', 'Cl', 'Br', 'I']","['Cl', 'Cl', 'In', 'In', 'In']"
51,51,422442,Ag1O2Sc1_422442.json,"['F', 'Cl', 'In', 'Re', 'W']","['O', 'O', 'Ag', 'Sc', 'Sc']","['Na', 'O', 'Rb', 'K', 'Li']","['Sc', 'Ag', 'Sc', 'Sc', 'Sc']"
53,53,60755,Cd1I6In4_60755.json,"['Sb', 'La', 'Pb', 'Yb', 'Ce']","['In', 'In', 'In', 'In', 'In']","['O', 'S', 'Na', 'Cl', 'Se']","['I', 'I', 'Cd', 'In', 'I']"
55,55,262634,Ag2S1_262634.json,"['In', 'Cl', 'Ga', 'Ba', 'Mg']","['Ag', 'S', 'Ag', 'Ag', 'Ag']","['O', 'N', 'N', 'F', 'Br']","['Ag', 'S', 'Ag', 'Ag', 'Ag']"
58,58,80376,N2Sr2Zn1_80376.json,"['O', 'S', 'Se', 'La', 'F']","['N', 'N', 'N', 'Sr', 'N']","['Cs', 'Rb', 'K', 'Na', 'Cu']","['Sr', 'Sr', 'Sr', 'Zn', 'Zn']"
62,62,1031,N1Nb1O1_1031.json,"['O', 'S', 'Se', 'F', 'F']","['N', 'N', 'N', 'O', 'N']","['Na', 'Ti', 'Rb', 'Ca', 'Sn']","['Nb', 'Nb', 'Nb', 'Nb', 'Nb']"
63,63,280002,Nb3O6Ti1_280002.json,"['Sb', 'W', 'K', 'Mo', 'Nb']","['Ti', 'Ti', 'O', 'Ti', 'Ti']","['Cr', 'Ga', 'As', 'Rh', 'Al']","['Ti', 'Ti', 'Ti', 'Ti', 'Ti']"
64,64,1055,Cl2Cu2O1_1055.json,"['F', 'Ge', 'Cl', 'Si', 'K']","['O', 'Cu', 'O', 'Cu', 'Cl']","['O', 'S', 'Cu', 'Li', 'Na']","['Cl', 'Cl', 'Cu', 'Cu', 'Cu']"
66,66,192470,Ag1Fe2Ga1Te4_192470.json,"['Hg', 'Cd', 'Tl', 'Tl', 'Mn']","['Ag', 'Ag', 'Ag', 'Fe', 'Ag']","['Ag', 'Ag', 'Na', 'Na', 'Hg']","['Ga', 'Fe', 'Ga', 'Fe', 'Ga']"
67,67,31355,I1Sb1Te1_31355.json,"['Pb', 'Zr', 'Sn', 'Ti', 'W']","['Sb', 'Sb', 'Sb', 'Sb', 'Sb']","['Mn', 'Cd', 'Zn', 'Co', 'Mg']","['Sb', 'Sb', 'Sb', 'Sb', 'Sb']"
71,71,23262,Cl1I1Sn1_23262.json,"['Mn', 'Co', 'Cr', 'Fe', 'Sn']","['Sn', 'Sn', 'Sn', 'Sn', 'Sn']","['O', 'O', 'S', 'Cs', 'Rb']","['Cl', 'I', 'I', 'Sn', 'Sn']"
72,72,236773,B2Co3O6_236773.json,"['F', 'C', 'Cl', 'Ge', 'Sn']","['O', 'B', 'O', 'Co', 'Co']","['Na', 'Li', 'O', 'K', 'Ag']","['Co', 'Co', 'Co', 'Co', 'B']"
73,73,41209,F2Pd1_41209.json,"['Fe', 'Mn', 'Sc', 'Cr', 'V']","['Pd', 'Pd', 'Pd', 'Pd', 'Pd']","['O', 'Na', 'Cu', 'K', 'Li']","['F', 'Pd', 'Pd', 'Pd', 'Pd']"
74,74,658918,Co1In2Se4_658918.json,"['Ge', 'Sn', 'Fe', 'W', 'Sb']","['Co', 'Co', 'Co', 'In', 'In']","['Na', 'Na', 'K', 'N', 'Cs']","['In', 'Co', 'In', 'Se', 'In']"
75,75,159758,Ag2In2S6Si1_159758.json,"['P', 'V', 'As', 'In', 'Cl']","['Si', 'Si', 'Si', 'Ag', 'S']","['Na', 'Li', 'K', 'O', 'Zn']","['In', 'Si', 'In', 'Ag', 'Si']"
76,76,56788,Rb1S2Sb1_56788.json,"['Ba', 'Sr', 'Cl', 'Sb', 'Er']","['Rb', 'Rb', 'S', 'Sb', 'Rb']","['Pb', 'K', 'S', 'Tl', 'In']","['Sb', 'Sb', 'Sb', 'Sb', 'Sb']"
77,77,16819,Cs1Mn1O4_16819.json,"['Ba', 'F', 'Sr', 'Cl', 'Ca']","['Cs', 'O', 'Cs', 'O', 'Cs']","['S', 'Ga', 'B', 'P', 'Cr']","['Mn', 'Mn', 'Mn', 'Mn', 'Mn']"
81,81,63544,As1K1Ni1O4_63544.json,"['F', 'Ba', 'Sr', 'Cl', 'Fe']","['O', 'K', 'K', 'O', 'Ni']","['Si', 'Na', 'Ge', 'Li', 'Li']","['As', 'Ni', 'As', 'As', 'Ni']"
86,86,15399,Cu1O4S1_15399.json,"['F', 'Cl', 'Ge', 'Cl', 'Mn']","['O', 'S', 'Cu', 'O', 'S']","['Be', 'P', 'B', 'Zn', 'Cu']","['S', 'S', 'S', 'S', 'Cu']"
87,87,77832,S2V1_77832.json,"['Nb', 'Cl', 'Ta', 'Br', 'I']","['V', 'S', 'V', 'S', 'S']","['Mg', 'Cd', 'Mn', 'Ni', 'Cu']","['V', 'V', 'V', 'V', 'V']"
89,89,27014,As2Ba1Ni2O8_27014.json,"['F', 'Cl', 'Fe', 'Cr', 'Cr']","['O', 'O', 'Ni', 'As', 'Ni']","['Cs', 'Rb', 'Si', 'Na', 'Ge']","['Ba', 'Ba', 'As', 'Ni', 'As']"
91,91,50988,Cl1K1Mo1O5P1_50988.json,"['F', 'Ba', 'W', 'Mo', 'Sr']","['O', 'K', 'Mo', 'Mo', 'K']","['O', 'Na', 'S', 'Si', 'Li']","['Cl', 'Mo', 'Cl', 'P', 'Mo']"
93,93,23182,Cl6Fe1K3Na1_23182.json,"['Ba', 'Sr', 'Ca', 'Sb', 'W']","['K', 'K', 'Na', 'Na', 'Fe']","['O', 'Na', 'S', 'Li', 'K']","['Cl', 'Fe', 'Cl', 'Fe', 'Fe']"
100,100,425734,Cl1N1Zn2_425734.json,"['O', 'S', 'Se', 'F', 'Si']","['N', 'N', 'N', 'N', 'Zn']","['O', 'Na', 'S', 'Cu', 'K']","['Cl', 'Zn', 'Cl', 'Zn', 'Zn']"
102,102,12159,Cd1Na1Sb1_12159.json,"['Tl', 'Bi', 'Te', 'Cd', 'Pb']","['Cd', 'Na', 'Cd', 'Na', 'Cd']","['Li', 'Na', 'Ag', 'F', 'K']","['Cd', 'Cd', 'Cd', 'Cd', 'Cd']"
103,103,56517,In2Mn2O7_56517.json,"['F', 'Ta', 'Cl', 'Nb', 'W']","['O', 'Mn', 'O', 'Mn', 'In']","['Na', 'Rh', 'K', 'Cs', 'Mg']","['In', 'Mn', 'In', 'In', 'In']"
108,108,52367,Br2Cd1_52367.json,"['K', 'Ge', 'Sn', 'Rb', 'Cr']","['Br', 'Cd', 'Cd', 'Br', 'Cd']","['O', 'S', 'Na', 'O', 'Se']","['Br', 'Br', 'Cd', 'Cd', 'Br']"
109,109,190875,I1Li1O4Zn1_190875.json,"['F', 'Si', 'Ge', 'Si', 'Er']","['O', 'Zn', 'Zn', 'Li', 'Li']","['Cs', 'Ba', 'Sc', 'Ca', 'Na']","['I', 'I', 'I', 'I', 'Zn']"
110,110,9596,Cr1Cs3F7_9596.json,"['Ba', 'Sr', 'Bi', 'As', 'Ca']","['Cs', 'Cs', 'Cr', 'Cr', 'Cs']","['O', 'Cd', 'Co', 'Ca', 'Ba']","['F', 'Cr', 'Cr', 'Cr', 'Cr']"
111,111,1153,Cu1Na2P1_1153.json,"['U', 'Hg', 'Cd', 'Hg', 'Tl']","['Cu', 'Na', 'Na', 'Cu', 'Na']","['F', 'O', 'N', 'F', 'O']","['Na', 'Na', 'Na', 'Cu', 'Cu']"
114,114,426907,Na2P1S3_426907.json,"['Ca', 'Sb', 'Er', 'W', 'Ho']","['Na', 'Na', 'Na', 'Na', 'Na']","['N', 'F', 'P', 'Li', 'O']","['S', 'Na', 'P', 'P', 'Na']"
115,115,97584,Na2O3Ru1_97584.json,"['F', 'Nb', 'Ta', 'Ca', 'Sb']","['O', 'Ru', 'Ru', 'Na', 'Na']","['Fe', 'Mn', 'Sc', 'V', 'Mn']","['Ru', 'Ru', 'Ru', 'Ru', 'Ru']"
119,119,402642,K3S4Sb1_402642.json,"['Ba', 'Mo', 'Sr', 'Cl', 'Ca']","['K', 'Sb', 'K', 'S', 'K']","['Na', 'K', 'Fe', 'Ca', 'Mg']","['Sb', 'Sb', 'Sb', 'Sb', 'Sb']"
123,123,79165,B2Mn1O6Sn1_79165.json,"['F', 'C', 'Cl', 'Ta', 'Sc']","['O', 'B', 'O', 'Sn', 'Mn']","['Na', 'Co', 'Cd', 'Li', 'Fe']","['Mn', 'Sn', 'Sn', 'Sn', 'Sn']"
124,124,280293,O4Rb4Sn1_280293.json,"['Ba', 'F', 'Sr', 'Cl', 'Ta']","['Rb', 'O', 'Rb', 'O', 'Sn']","['Co', 'Cd', 'Li', 'Fe', 'Ca']","['Sn', 'Sn', 'Sn', 'Sn', 'Sn']"
125,125,249689,Ba2F2Fe2O1S2_249689.json,"['F', 'W', 'Sn', 'Cl', 'Cr']","['O', 'Fe', 'Fe', 'O', 'Fe']","['O', 'Cs', 'Rb', 'K', 'Na']","['F', 'Ba', 'Ba', 'Ba', 'Fe']"
129,129,609867,As2Be2Ca1_609867.json,"['Ce', 'Pr', 'Si', 'Cr', 'Se']","['Ca', 'Ca', 'Be', 'Be', 'Be']","['Na', 'Ag', 'Hg', 'Li', 'Li']","['Ca', 'Ca', 'Ca', 'Ca', 'Be']"
130,130,87710,Fe1H2O5V1_87710.json,"['F', 'Cr', 'Cl', 'Sb', 'W']","['O', 'V', 'O', 'Fe', 'Fe']","['Si', 'Na', 'Y', 'K', 'Tb']","['V', 'Fe', 'V', 'Fe', 'V']"
133,133,80551,Li1O7P2V1_80551.json,"['F', 'Si', 'Er', 'Re', 'Cl']","['O', 'Li', 'Li', 'V', 'O']","['Na', 'Rb', 'O', 'Si', 'K']","['V', 'V', 'Li', 'P', 'V']"
134,134,67998,As2Ba2O2Zn3_67998.json,"['Zr', 'In', 'Hf', 'K', 'Ba']","['Zn', 'Zn', 'Zn', 'O', 'O']","['O', 'Li', 'K', 'Ag', 'Tl']","['Ba', 'Zn', 'Ba', 'Ba', 'Ba']"
136,136,78932,Cs2Mn3Se4_78932.json,"['Ba', 'Sr', 'Sc', 'Ir', 'W']","['Cs', 'Cs', 'Mn', 'Mn', 'Mn']","['Na', 'N', 'Li', 'O', 'K']","['Mn', 'Se', 'Mn', 'Mn', 'Mn']"
138,138,82985,Ba5Nb4O15.json,"['F', 'Cl', 'W', 'La', 'Mo']","['O', 'O', 'Nb', 'Ba', 'Nb']","['Cs', 'Rb', 'K', 'Na', 'Ti']","['Ba', 'Ba', 'Ba', 'Nb', 'Nb']"
139,139,35597,Ag1In5Se8_35597.json,"['In', 'W', 'Sb', 'Ga', 'Ba']","['Ag', 'In', 'In', 'Ag', 'Ag']","['Na', 'K', 'O', 'N', 'Cs']","['In', 'In', 'Ag', 'Se', 'In']"
141,141,26957,Be1O1_26957.json,"['Si', 'Ge', 'S', 'F', 'Al']","['Be', 'Be', 'Be', 'O', 'Be']","['Ag', 'O', 'Li', 'N', 'N']","['Be', 'Be', 'Be', 'O', 'Be']"
142,142,66537,Cl5Nb1_66537.json,"['W', 'K', 'Mo', 'Rb', 'Na']","['Nb', 'Cl', 'Nb', 'Cl', 'Cl']","['O', 'S', 'Na', 'Ti', 'Rb']","['Cl', 'Cl', 'Nb', 'Nb', 'Nb']"
144,144,41895,K3S4Sb1_41895.json,"['Ba', 'Mo', 'Sr', 'Cl', 'Ca']","['K', 'Sb', 'K', 'S', 'K']","['Na', 'K', 'Fe', 'Ca', 'Mg']","['Sb', 'Sb', 'Sb', 'Sb', 'Sb']"
147,147,280190,Cs2I6Pd1_280190.json,"['Ba', 'Sr', 'K', 'Cs', 'Rb']","['Cs', 'Cs', 'I', 'I', 'I']","['O', 'S', 'Cd', 'Zn', 'Mn']","['I', 'I', 'Pd', 'Pd', 'Pd']"
148,148,641302,K2Pd1Te2_641302.json,"['Pu', 'Lu', 'Yb', 'Ce', 'Au']","['Pd', 'Pd', 'Pd', 'Pd', 'Pd']","['Li', 'Na', 'Ag', 'Hg', 'F']","['Pd', 'Pd', 'Pd', 'Pd', 'Pd']"
152,152,15117,Cl3Mo1N1_15117.json,"['O', 'S', 'Se', 'F', 'Li']","['N', 'N', 'N', 'N', 'N']","['O', 'Na', 'K', 'Sb', 'S']","['Cl', 'Mo', 'Mo', 'Mo', 'Cl']"
154,154,152086,Al1Li1Si1_152086.json,"['Zr', 'Zr', 'Co', 'Zn', 'Hf']","['Li', 'Al', 'Li', 'Li', 'Li']","['Li', 'Co', 'Zn', 'Mg', 'Cu']","['Al', 'Al', 'Al', 'Al', 'Al']"
158,158,245001,Ag3In1O8P2_245001.json,"['F', 'Cl', 'In', 'W', 'Sb']","['O', 'O', 'Ag', 'In', 'In']","['Na', 'K', 'Si', 'O', 'Cs']","['In', 'In', 'P', 'Ag', 'In']"
159,159,413165,Mg1P1Se3_413165.json,"['W', 'Cr', 'Sc', 'Sb', 'Mo']","['Mg', 'Mg', 'Mg', 'Mg', 'Mg']","['Na', 'N', 'O', 'Li', 'K']","['Mg', 'Se', 'Mg', 'Mg', 'Mg']"
162,162,409188,P5Y1_409188.json,"['Th', 'Ce', 'Pu', 'Po', 'Pb']","['Y', 'Y', 'Y', 'Y', 'Y']","['Mn', 'Cd', 'Li', 'Fe', 'Ca']","['Y', 'Y', 'Y', 'Y', 'Y']"
163,163,80766,Rb2Se5Sn2_80766.json,"['Ba', 'Sr', 'Ta', 'Er', 'Ho']","['Rb', 'Rb', 'Sn', 'Rb', 'Rb']","['N', 'Co', 'Cd', 'Li', 'Fe']","['Se', 'Sn', 'Sn', 'Sn', 'Sn']"
165,165,245840,Ca1Cr1O3_245840.json,"['F', 'La', 'Bi', 'Cl', 'As']","['O', 'Ca', 'Cr', 'O', 'Cr']","['Cd', 'Na', 'Co', 'Ca', 'K']","['Cr', 'Ca', 'Cr', 'Cr', 'Ca']"
166,166,9519,F1Na3O4S1_9519.json,"['F', 'Cl', 'Ca', 'Sb', 'Cl']","['O', 'S', 'Na', 'Na', 'O']","['O', 'Be', 'P', 'B', 'Zn']","['F', 'S', 'S', 'S', 'S']"
168,168,41651,Ba1F2_41651.json,"['La', 'Nd', 'Pr', 'Sm', 'Na']","['Ba', 'Ba', 'Ba', 'Ba', 'F']","['O', 'Cs', 'Rb', 'K', 'Tl']","['F', 'Ba', 'Ba', 'Ba', 'Ba']"
169,169,422940,As2Cd1Sr2_422940.json,"['Tl', 'Te', 'Pb', 'In', 'Zr']","['Cd', 'Cd', 'Cd', 'Cd', 'Cd']","['Li', 'Na', 'Ag', 'F', 'K']","['Cd', 'Cd', 'Cd', 'Cd', 'Cd']"
170,170,61050,Mn3Na2O7_61050.json,"['F', 'Ta', 'Ca', 'Sb', 'Cl']","['O', 'Mn', 'Na', 'Na', 'O']","['Rh', 'Ni', 'Mn', 'Mn', 'Sc']","['Mn', 'Mn', 'Mn', 'Mn', 'Mn']"
174,174,158956,Br6Rb2Sn1_158956.json,"['Ba', 'Sr', 'K', 'Ta', 'Rb']","['Rb', 'Rb', 'Br', 'Sn', 'Br']","['O', 'S', 'Co', 'Cd', 'Li']","['Br', 'Br', 'Sn', 'Sn', 'Sn']"
176,176,652244,Se2Zr1_652244.json,"['V', 'P', 'Ca', 'Cl', 'Br']","['Zr', 'Zr', 'Se', 'Se', 'Se']","['Fe', 'Mn', 'N', 'Mn', 'Mg']","['Zr', 'Zr', 'Se', 'Zr', 'Zr']"
177,177,72815,Ca1Mo1O6Sr2_72815.json,"['F', 'La', 'La', 'Cl', 'Nd']","['O', 'Sr', 'Ca', 'O', 'Ca']","['Na', 'Cs', 'Na', 'Rb', 'K']","['Mo', 'Sr', 'Ca', 'Sr', 'Mo']"
180,180,659165,Ba1Cu1S3Sc1_659165.json,"['Zn', 'Hg', 'Cl', 'Re', 'Cu']","['Cu', 'Cu', 'S', 'Sc', 'Cu']","['Cs', 'Rb', 'Na', 'K', 'Rb']","['Ba', 'Ba', 'Sc', 'Ba', 'Sc']"
181,181,203032,Li1O3Sb1_203032.json,"['F', 'Mo', 'Si', 'Er', 'Cl']","['O', 'Sb', 'Li', 'Li', 'O']","['Na', 'K', 'O', 'Fe', 'Ca']","['Sb', 'Sb', 'Li', 'Sb', 'Sb']"
182,182,77132,Ba2Cu1Ge2O7_77132.json,"['F', 'P', 'Ge', 'As', 'Cl']","['O', 'Ge', 'Cu', 'Ge', 'O']","['Cs', 'Rb', 'K', 'Zn', 'Cd']","['Ba', 'Ba', 'Ba', 'Ge', 'Ge']"
184,184,43003,S2Sn1_43003.json,"['Ta', 'Cl', 'Sb', 'Nb', 'Ru']","['Sn', 'S', 'Sn', 'Sn', 'Sn']","['Co', 'Cd', 'Li', 'Fe', 'Ca']","['Sn', 'Sn', 'Sn', 'Sn', 'Sn']"
185,185,61391,Mn1P1S3_61391.json,"['Cl', 'Sc', 'Ir', 'W', 'Sb']","['S', 'Mn', 'Mn', 'Mn', 'Mn']","['Na', 'N', 'Li', 'O', 'P']","['Mn', 'S', 'Mn', 'Mn', 'P']"
186,186,6220,I2O6S1_6220.json,"['F', 'Cl', 'Br', 'I', 'Ir']","['O', 'O', 'O', 'O', 'S']","['Cs', 'Ba', 'Sc', 'Ca', 'Se']","['I', 'I', 'I', 'I', 'I']"
187,187,21067,Cu1O6V2_21067.json,"['F', 'Cr', 'Ge', 'Cl', 'Si']","['O', 'V', 'Cu', 'O', 'Cu']","['Si', 'Y', 'Cu', 'Tb', 'Ge']","['V', 'V', 'Cu', 'V', 'V']"
188,188,44325,Al1Sb1_44325.json,"['Mn', 'Ge', 'Mo', 'Tc', 'Ti']","['Al', 'Al', 'Al', 'Al', 'Al']","['Be', 'Ni', 'Mg', 'Cu', 'Co']","['Al', 'Al', 'Al', 'Al', 'Al']"
189,189,650233,Rh1S1Sb1_650233.json,"['W', 'Mo', 'Tc', 'Sn', 'Nb']","['Rh', 'Rh', 'Rh', 'Rh', 'Rh']","['Ni', 'Mg', 'Cu', 'Ge', 'Zn']","['Rh', 'Rh', 'Rh', 'Rh', 'Rh']"
190,190,130021,Al1F3_130021.json,"['Si', 'Se', 'Ge', 'C', 'Zr']","['Al', 'Al', 'Al', 'Al', 'Al']","['O', 'Li', 'Na', 'Mg', 'K']","['F', 'Al', 'Al', 'Al', 'Al']"
193,193,73102,Mo1N2Na4O2_73102.json,"['O', 'S', 'Se', 'F', 'F']","['N', 'N', 'N', 'O', 'N']","['Na', 'K', 'Sb', 'Mg', 'Zn']","['Mo', 'Mo', 'Mo', 'Mo', 'Mo']"
194,194,31820,F3K1Mn1_31820.json,"['Ba', 'Sr', 'Ca', 'Sc', 'Ir']","['K', 'K', 'K', 'Mn', 'Mn']","['O', 'Na', 'Li', 'O', 'O']","['F', 'Mn', 'Mn', 'K', 'Mn']"
197,197,38116,Cd1I2_38116.json,"['Ge', 'K', 'Cs', 'Sn', 'Cr']","['Cd', 'I', 'I', 'Cd', 'Cd']","['O', 'S', 'Na', 'Se', 'O']","['I', 'I', 'Cd', 'I', 'Cd']"
198,198,901,As1Cl1Cu2O4_901.json,"['F', 'Ge', 'Cl', 'Cr', 'Si']","['O', 'Cu', 'O', 'As', 'Cu']","['O', 'Si', 'Ge', 'S', 'Li']","['Cl', 'As', 'As', 'Cl', 'As']"
199,199,170773,I3Y1_170773.json,"['Re', 'K', 'Cs', 'V', 'Ru']","['Y', 'I', 'I', 'Y', 'Y']","['O', 'S', 'Na', 'K', 'Ca']","['I', 'I', 'Y', 'Y', 'Y']"
200,200,280349,Al2Ca3N4_280349.json,"['O', 'S', 'Se', 'F', 'La']","['N', 'N', 'N', 'N', 'Ca']","['Na', 'K', 'Li', 'Na', 'Cs']","['Ca', 'Ca', 'Al', 'Al', 'Ca']"
204,204,38346,Br6K2Te1_38346.json,"['Ba', 'Sr', 'K', 'Ca', 'Rb']","['K', 'K', 'Br', 'K', 'Br']","['O', 'S', 'La', 'Sr', 'Nd']","['Br', 'Br', 'Te', 'Te', 'Te']"
209,209,154183,Ba1S3V1_154183.json,"['Nb', 'Cl', 'La', 'Ta', 'Br']","['V', 'S', 'Ba', 'V', 'S']","['Cs', 'Rb', 'K', 'Mg', 'Cd']","['Ba', 'Ba', 'Ba', 'V', 'V']"
211,211,415121,Li2Se3Te1_415121.json,"['Si', 'Er', 'Ho', 'Yb', 'Gd']","['Li', 'Li', 'Li', 'Li', 'Li']","['O', 'N', 'La', 'Sr', 'Nd']","['Li', 'Se', 'Te', 'Te', 'Te']"
212,212,73268,C1F3I1_73268.json,"['N', 'K', 'Cs', 'Rb', 'Tl']","['C', 'I', 'I', 'I', 'I']","['O', 'B', 'O', 'S', 'Al']","['F', 'C', 'I', 'I', 'C']"
214,214,189831,O1S2Sb2_189831.json,"['F', 'Cl', 'Cl', 'Sb', 'Br']","['O', 'O', 'S', 'Sb', 'S']","['Pb', 'K', 'S', 'Tl', 'In']","['Sb', 'Sb', 'Sb', 'Sb', 'Sb']"
215,215,2433,Ag2Cr2O7_2433.json,"['F', 'Cl', 'In', 'Ga', 'Cl']","['O', 'O', 'Ag', 'Ag', 'Cr']","['P', 'Zn', 'V', 'Si', 'Cr']","['Cr', 'Cr', 'Cr', 'Cr', 'Cr']"
218,218,68605,Co1K6Se4_68605.json,"['Ba', 'Sr', 'Ge', 'Sn', 'Ca']","['K', 'K', 'Co', 'Co', 'K']","['Na', 'N', 'Li', 'O', 'K']","['Co', 'Se', 'Co', 'Co', 'Co']"
223,223,16296,P2Pd3S8_16296.json,"['Fe', 'Mn', 'Sc', 'Cr', 'V']","['Pd', 'Pd', 'Pd', 'Pd', 'Pd']","['Si', 'Na', 'N', 'Cu', 'Ge']","['P', 'Pd', 'S', 'Pd', 'P']"
224,224,24193,O7Sn2Y2_24193.json,"['F', 'Re', 'Cl', 'Ta', 'V']","['O', 'Y', 'O', 'Sn', 'Y']","['Na', 'K', 'Ca', 'Co', 'Cd']","['Y', 'Y', 'Y', 'Sn', 'Sn']"
230,230,1555,F4Pd1_1555.json,"['Na', 'Li', 'W', 'K', 'Rb']","['F', 'F', 'Pd', 'F', 'F']","['O', 'Cd', 'Zn', 'Mn', 'Cu']","['F', 'Pd', 'Pd', 'Pd', 'Pd']"
235,235,611263,As2Rh1_611263.json,"['Sb', 'W', 'Mo', 'Tc', 'Te']","['Rh', 'Rh', 'Rh', 'Rh', 'Rh']","['Cr', 'Ga', 'As', 'Al', 'Rh']","['Rh', 'Rh', 'Rh', 'Rh', 'Rh']"
236,236,239746,Cu1Mg1O4V1_239746.json,"['F', 'Zn', 'Hg', 'Cr', 'Cl']","['O', 'Cu', 'Cu', 'V', 'O']","['Si', 'Na', 'Y', 'Tb', 'O']","['V', 'Mg', 'V', 'V', 'Mg']"
238,238,162061,As2Cu2O7_162061.json,"['F', 'Ge', 'Cl', 'Cr', 'Si']","['O', 'Cu', 'O', 'As', 'Cu']","['Si', 'Ge', 'Li', 'Cu', 'Zn']","['As', 'As', 'As', 'Cu', 'As']"
241,241,182363,C1Ge1_182363.json,"['Mo', 'Tc', 'I', 'W', 'V']","['Ge', 'Ge', 'Ge', 'Ge', 'Ge']","['Al', 'Ga', 'Fe', 'Be', 'Ni']","['Ge', 'Ge', 'Ge', 'Ge', 'Ge']"
248,248,416646,O4Pd1Se1_416646.json,"['F', 'Cl', 'I', 'Br', 'W']","['O', 'O', 'Se', 'O', 'Pd']","['Cd', 'La', 'Nd', 'Pr', 'Ca']","['Pd', 'Se', 'Se', 'Se', 'Se']"
249,249,262349,F2Sr1_262349.json,"['La', 'Nd', 'Pr', 'Sm', 'Y']","['Sr', 'Sr', 'Sr', 'Sr', 'Sr']","['O', 'Cs', 'Rb', 'K', 'Na']","['F', 'Sr', 'Sr', 'Sr', 'Sr']"
