,ICSD,Crystal,n_dopant,n_original,p_dopant,p_original
2841,203216,I4P2_203216.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2842,174309,Cs4Fe1O4_174309.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2843,51464,Ca2Ga1Mn1O5_51464.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2844,62259,Cs3P7_62259.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2845,49741,As1Ca1Cu1_49741.json,"[Species Ce3+, Species Pr3+, Species Nd3+, Species Am3+, Species Te4+]","[Species Ca2+, Species Ca2+, Species Ca2+, Species Ca2+, Species Ca2+]","[Species Na+, Species Ag+, Species Hg+, Species Li+, Species F-]","[Species Ca2+, Species Ca2+, Species Ca2+, Species Ca2+, Species Ca2+]"
2846,422884,Ge1O6Se2_422884.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2847,14077,Br3Mn1Rb1_14077.json,"[Species Ba2+, Species Sr2+, Species K+, Species Rb+, Species Sc3+]","[Species Rb+, Species Rb+, Species Br-, Species Br-, Species Mn2+]","[Species O2-, Species Na+, Species S2-, Species Li+, Species Se2-]","[Species Br-, Species Mn2+, Species Br-, Species Mn2+, Species Br-]"
2848,1925,K2O8V3_1925.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2849,59376,I4O1Ta4Te9_59376.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2850,605734,Ag2S4Sn1Zn1_605734.json,"[Species Si4+, Species Ge4+, Species Ta5+, Species In3+, Species Cl-]","[Species Zn2+, Species Zn2+, Species Sn4+, Species Ag+, Species S2-]","[Species Na+, Species O2-, Species Cu+, Species Co2+, Species Cd2+]","[Species Zn2+, Species Ag+, Species Zn2+, Species Sn4+, Species Sn4+]"
2851,80717,Ca1Hg1O2_80717.json,"[Species F-, Species La3+, Species Cl-, Species Nd3+, Species Ge4+]","[Species O2-, Species Ca2+, Species O2-, Species Ca2+, Species Hg2+]","[Species Cu+, Species Na+, Species K+, Species Cs+, Species Rb+]","[Species Hg2+, Species Ca2+, Species Ca2+, Species Ca2+, Species Ca2+]"
2852,84948,H1Mn1O2_84948.json,"[Species F-, Species Zr4+, Species Se4+, Species Cl-, Species Ru4+]","[Species O2-, Species Mn3+, Species Mn3+, Species O2-, Species Mn3+]","[Species Mn2+, Species Mg2+, Species Ni2+, Species O2-, Species Na+]","[Species Mn3+, Species Mn3+, Species Mn3+, Species H+, Species Mn3+]"
2853,74193,K2La2O10Ti3_74193.json,"[Species F-, Species Ba2+, Species Sr2+, Species Ta5+, Species Cl-]","[Species O2-, Species K+, Species K+, Species Ti4+, Species O2-]","[Species Sr2+, Species Ba2+, Species Na+, Species Ca2+, Species K+]","[Species La3+, Species La3+, Species La3+, Species La3+, Species La3+]"
2854,1981,Cl1O1V1_1981.json,"[Species F-, Species Re5+, Species Cl-, Species K+, Species Zr4+]","[Species O2-, Species V3+, Species O2-, Species Cl-, Species V3+]","[Species O2-, Species Na+, Species Rb+, Species S2-, Species K+]","[Species Cl-, Species V3+, Species V3+, Species Cl-, Species V3+]"
2855,659143,He2Ne1_659143.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2856,15005,Hg2O4S1_15005.json,"[Species F-, Species Cl5+, Species Cl-, Species Ge4+, Species Sn4+]","[Species O2-, Species S4+, Species O2-, Species Hg2+, Species Hg2+]","[Species Cu+, Species Ge2+, Species O2-, Species Ag+, Species Li+]","[Species Hg2+, Species S4+, Species Hg2+, Species Hg2+, Species Hg2+]"
2857,423448,Cl4Os1S3Se1_423448.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2858,27673,Cl2Zn1_27673.json,"[Species Si4+, Species Ge4+, Species W6+, Species Mo6+, Species Re5+]","[Species Zn2+, Species Zn2+, Species Zn2+, Species Zn2+, Species Zn2+]","[Species O2-, Species Na+, Species S2-, Species Cu+, Species K+]","[Species Cl-, Species Zn2+, Species Cl-, Species Zn2+, Species Zn2+]"
2859,16141,Au1K1N4O12_16141.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2860,249505,O5Pd1Se2_249505.json,"[Species F-, Species Hg2+, Species Ag+, Species U6+, Species D+]","[Species O2-, Species O2-, Species O2-, Species O2-, Species O2-]","[None, None, None, None, None]","[None, None, None, None, None]"
2861,641600,La2O3_641600.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2862,201308,Cs2Hf1I6_201308.json,"[Species Ba2+, Species Sr2+, Species V5+, Species P5+, Species K+]","[Species Cs+, Species Cs+, Species Hf4+, Species Hf4+, Species I-]","[Species O2-, Species S2-, Species Rb+, Species Na+, Species Y3+]","[Species I-, Species I-, Species Hf4+, Species Hf4+, Species Hf4+]"
2863,250708,Ba1Co2O8P2_250708.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2864,412103,As1Cl5_412103.json,"[Species Cr6+, Species K+, Species Rb+, Species Na+, Species Cs+]","[Species As5+, Species Cl-, Species Cl-, Species Cl-, Species Cl-]","[Species O2-, Species Si4+, Species Ge4+, Species S2-, Species Li+]","[Species Cl-, Species As5+, Species As5+, Species Cl-, Species As5+]"
2865,73318,Pd3Se8Ta2_73318.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2866,36250,O1Pb1_36250.json,"[Species F-, Species Cl-, Species Bi3+, Species Cr3+, Species Nd3+]","[Species O2-, Species O2-, Species Pb2+, Species Pb2+, Species Pb2+]","[Species Cs+, Species Rb+, Species K+, Species Tl+, Species S2-]","[Species Pb2+, Species Pb2+, Species Pb2+, Species Pb2+, Species Pb2+]"
2867,60260,In2O6Te1_60260.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2868,52008,As1La1_52008.json,"[Species Te4+, Species I5+, Species Po4+, Species Th4+, Species Ce4+]","[Species La3+, Species La3+, Species La3+, Species La3+, Species La3+]","[Species Na+, Species Hg2+, Species Ca2+, Species Cd2+, Species Ag+]","[Species La3+, Species La3+, Species La3+, Species La3+, Species La3+]"
2869,1263,K2S3_1263.json,"[Species Ra2+, Species Ba2+, Species Ba2+, Species Pb2+, Species Pb2+]","[Species K+, Species K+, Species K+, Species K+, Species K+]","[Species O2-, None, None, None, None]","[Species K+, None, None, None, None]"
2870,201689,O2Si1_201689.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2871,418459,O9P2Sn4_418459.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2872,657748,O2Ti1_657748.json,"[Species F-, Species Ta5+, Species Cl-, Species Nb5+, Species Sb5+]","[Species O2-, Species Ti4+, Species O2-, Species Ti4+, Species Ti4+]","[Species Na+, Species Zn2+, Species Mn2+, Species Mg2+, Species Fe3+]","[Species Ti4+, Species Ti4+, Species Ti4+, Species Ti4+, Species Ti4+]"
2873,193521,Ge1Na1_193521.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2874,280086,Ag1O4Re1_280086.json,"[Species F-, Species Cl-, Species In3+, Species Ga3+, Species Ba2+]","[Species O2-, Species O2-, Species Ag+, Species Ag+, Species Ag+]","[Species Na+, Species K+, Species W6+, Species Re5+, Species Mo6+]","[Species Re7+, Species Re7+, Species Re7+, Species Re7+, Species Re7+]"
2875,171430,F1Sb1Se2Sr1_171430.json,"[Species La3+, Species Nd3+, Species Sb5+, Species Pr3+, Species Sm3+]","[Species Sr2+, Species Sr2+, Species Sb3+, Species Sr2+, Species Sr2+]","[Species O2-, Species Cs+, Species Pb2+, Species Rb+, Species K+]","[Species F-, Species Sr2+, Species Sb3+, Species Sr2+, Species Sb3+]"
2876,160557,Ca2Co1O3_160557.json,"[Species F-, Species La3+, Species Cl-, Species Nd3+, Species Ge4+]","[Species O2-, Species Ca2+, Species O2-, Species Ca2+, Species Co2+]","[Species Na+, Species K+, Species Na+, Species Cs+, Species Rb+]","[Species Ca2+, Species Ca2+, Species Co2+, Species Ca2+, Species Ca2+]"
2877,185364,Ag1Cl1O4_185364.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2878,25378,Mo1O8V2_25378.json,"[Species F-, Species Cr6+, Species Cl-, Species Mo6+, Species I7+]","[Species O2-, Species V5+, Species O2-, Species V5+, Species Mo6+]","[Species Na+, Species Si4+, Species K+, Species Sb5+, Species Y3+]","[Species Mo6+, Species V5+, Species Mo6+, Species Mo6+, Species V5+]"
